==1519539== NVPROF is profiling process 1519539, command: ./RN 1
==1519539== Error: File already exists: /playpen/leochanj/fgpure/Modified-NVIDIA-Linux-x86_64-460.67/ResNet/test.profout
==1519539== Use "-f" to overwrite existing file
==1519539== Profiling application: ./RN 1
==1519539== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
1.8e+10s  5.2800us                    -               -         -         -         -  36.750KB  6.6378GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  98.818us                    -               -         -         -         -  588.00KB  5.6747GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  5.1283ms             (64 1 1)       (32 32 1)        39        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeFirstLayerCUDA(float*, float*, float*, float*, int, int, int, int, int, int, int) [124]
1.8e+10s  1.7600us                    -               -         -         -         -      256B  138.72MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  1.7280us                    -               -         -         -         -      256B  141.29MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  143.33us             (64 1 1)       (32 32 1)        36        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA_split(float*, float*, float*, int, int, int) [127]
1.8e+10s  1.7600us                    -               -         -         -         -      256B  138.72MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  1.7280us                    -               -         -         -         -      256B  141.29MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  131.71us             (64 1 1)       (32 32 1)        25        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA_split(float*, float*, float*, int, int, int) [130]
1.8e+10s  81.698us             (64 1 1)       (32 32 1)        20        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA_split(float*, int, int) [131]
1.8e+10s  99.329us             (64 1 1)       (32 32 1)        30        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executepoolingCuda(float*, float*, int, int, int, int, int, int, int, int, int) [132]
1.8e+10s  9.7930us                    -               -         -         -         -  64.000KB  6.2325GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  2.1077ms            (256 1 1)       (32 32 1)        40        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda_split(float*, float*, float*, float*, int, int, int, int, int, int, int, int, int) [145]
1.8e+10s  1.7280us                    -               -         -         -         -  1.0000KB  565.14MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  1.7600us                    -               -         -         -         -  1.0000KB  554.87MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  131.46us            (256 1 1)       (32 32 1)        36        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA_split(float*, float*, float*, int, int, int) [148]
1.8e+10s  1.7280us                    -               -         -         -         -  1.0000KB  565.14MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  1.7280us                    -               -         -         -         -  1.0000KB  565.14MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  112.07us            (256 1 1)       (32 32 1)        25        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA_split(float*, float*, float*, int, int, int) [151]
1.8e+10s  2.4960us                    -               -         -         -         -  16.000KB  6.1133GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  575.63us             (64 1 1)       (32 32 1)        40        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda_split(float*, float*, float*, float*, int, int, int, int, int, int, int, int, int) [153]
1.8e+10s  1.7280us                    -               -         -         -         -      256B  141.29MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  1.7280us                    -               -         -         -         -      256B  141.29MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  37.761us             (64 1 1)       (32 32 1)        36        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA_split(float*, float*, float*, int, int, int) [156]
1.8e+10s  1.7280us                    -               -         -         -         -      256B  141.29MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  1.7600us                    -               -         -         -         -      256B  138.72MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  26.048us             (64 1 1)       (32 32 1)        25        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA_split(float*, float*, float*, int, int, int) [159]
1.8e+10s  17.056us             (64 1 1)       (32 32 1)        20        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA_split(float*, int, int) [160]
1.8e+10s  26.784us                    -               -         -         -         -  144.00KB  5.1273GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  4.7448ms             (64 1 1)       (32 32 1)        40        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda_split(float*, float*, float*, float*, int, int, int, int, int, int, int, int, int) [162]
1.8e+10s  1.7600us                    -               -         -         -         -      256B  138.72MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  1.7600us                    -               -         -         -         -      256B  138.72MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  37.793us             (64 1 1)       (32 32 1)        36        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA_split(float*, float*, float*, int, int, int) [165]
1.8e+10s  1.7280us                    -               -         -         -         -      256B  141.29MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  1.7600us                    -               -         -         -         -      256B  138.72MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  26.400us             (64 1 1)       (32 32 1)        25        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA_split(float*, float*, float*, int, int, int) [168]
1.8e+10s  17.152us             (64 1 1)       (32 32 1)        20        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA_split(float*, int, int) [169]
