==1519835== NVPROF is profiling process 1519835, command: ./RN 1
==1519835== Profiling application: ./RN 1
==1519835== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
2.47785s  5.2160us                    -               -         -         -         -  36.750KB  6.7192GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.47800s  99.200us                    -               -         -         -         -  588.00KB  5.6528GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.47811s  5.1565ms             (64 1 1)       (32 32 1)        39        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeFirstLayerCUDA(float*, float*, float*, float*, int, int, int, int, int, int, int) [124]
2.48334s  1.7280us                    -               -         -         -         -      256B  141.29MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.48339s  1.7280us                    -               -         -         -         -      256B  141.29MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.48339s  146.75us             (64 1 1)       (32 32 1)        36        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA_split(float*, float*, float*, int, int, int) [127]
2.48361s  1.7280us                    -               -         -         -         -      256B  141.29MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.48365s  1.7600us                    -               -         -         -         -      256B  138.72MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.48365s  130.43us             (64 1 1)       (32 32 1)        25        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA_split(float*, float*, float*, int, int, int) [130]
2.48378s  72.384us             (64 1 1)       (32 32 1)        20        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA_split(float*, int, int) [131]
2.48386s  101.95us             (64 1 1)       (32 32 1)        30        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executepoolingCuda(float*, float*, int, int, int, int, int, int, int, int, int) [132]
